,Year,State,County,Deaths,Population,Mortality Rate
513,2004,NM,Chaves County,12.0,61478.0,0.00019519177591984123
514,2004,NM,Dona Ana County,17.0,,
515,2004,NM,Rio Arriba County,19.0,40342.0,0.000470973179316841
516,2004,NM,Santa Fe County,19.0,136391.0,0.00013930537938720296
517,2004,NM,Valencia County,15.0,69021.0,0.00021732516190724562
518,2005,NM,Bernalillo County,164.0,615320.0,0.000266527985438471
519,2005,NM,Chaves County,13.0,62172.0,0.00020909734285530463
520,2005,NM,Dona Ana County,18.0,,
521,2005,NM,Eddy County,11.0,50732.0,0.0002168256721595837
522,2005,NM,McKinley County,11.0,70666.0,0.00015566184586647043
523,2005,NM,Rio Arriba County,16.0,40198.0,0.00039802975272401614
524,2005,NM,Santa Fe County,18.0,137610.0,0.00013080444735120994
525,2005,NM,Valencia County,10.0,70093.0,0.00014266759876164524
526,2006,NM,Bernalillo County,171.0,628632.0,0.0002720192417821555
527,2006,NM,Chaves County,16.0,62486.0,0.0002560573568479339
528,2006,NM,Dona Ana County,26.0,,
529,2006,NM,Eddy County,12.0,51366.0,0.0002336175680411167
530,2006,NM,Otero County,11.0,62200.0,0.00017684887459807074
531,2006,NM,Rio Arriba County,18.0,40335.0,0.00044626255113425065
532,2006,NM,Sandoval County,11.0,114231.0,9.629610175871699e-05
533,2006,NM,Santa Fe County,20.0,138786.0,0.00014410675428357328
534,2006,NM,Valencia County,20.0,71661.0,0.0002790918351683622
535,2007,NM,Bernalillo County,182.0,638978.0,0.0002848298376469925
536,2007,NM,Dona Ana County,24.0,,
537,2007,NM,Lea County,12.0,61058.0,0.00019653444266107636
538,2007,NM,Rio Arriba County,17.0,40268.0,0.0004221714512764478
539,2007,NM,San Juan County,15.0,126149.0,0.00011890700679355365
540,2007,NM,Sandoval County,14.0,120401.0,0.00011627810400245845
541,2007,NM,Santa Fe County,26.0,140210.0,0.0001854361315170102
542,2007,NM,Valencia County,17.0,73703.0,0.0002306554685698004
543,2008,NM,Bernalillo County,219.0,646879.0,0.0003385486311968699
544,2008,NM,Chaves County,10.0,64378.0,0.00015533256702600267
545,2008,NM,Dona Ana County,23.0,,
546,2008,NM,Eddy County,14.0,52566.0,0.0002663318494844576
547,2008,NM,Rio Arriba County,24.0,40008.0,0.0005998800239952009
548,2008,NM,San Juan County,15.0,126905.0,0.0001181986525353611
549,2008,NM,Sandoval County,19.0,125368.0,0.00015155382553761726
550,2008,NM,Santa Fe County,38.0,141704.0,0.00026816462485180375
551,2008,NM,Valencia County,13.0,74879.0,0.00017361342966652865
552,2009,NM,Bernalillo County,164.0,655279.0,0.00025027507367090965
553,2009,NM,Chaves County,13.0,65110.0,0.00019966211027491938
554,2009,NM,Dona Ana County,29.0,,
555,2009,NM,Eddy County,14.0,53578.0,0.0002613012803762738
